,TM4SF1,C4A,CRISP3,CD248
0,0.027777778,0.210526316,0,0.230769231
1,0.111111111,0.052631579,0.294117647,0.076923077
2,0.222222222,0.052631579,0.235294118,0
3,0,0.052631579,0,0
4,0,0,0,0
5,0.055555556,0,0,0.153846154
6,0.111111111,0,0.294117647,0.076923077
7,0.194444444,0.052631579,0.176470588,0
8,0.055555556,0.105263158,0.176470588,0.076923077
9,0.027777778,0.052631579,0.117647059,0
10,0.055555556,0.105263158,0,0
11,0.055555556,0.052631579,0.058823529,0
12,0.083333333,0.052631579,0.117647059,0
13,0.027777778,0,0,0
14,0,0.052631579,0.058823529,0
15,0,0,0,0
16,0.055555556,0,0,0
17,0,0,0,0
18,0.027777778,0.210526316,0,0.076923077
19,0.055555556,0.157894737,0,0
20,0,0,0.117647059,0.076923077
21,0,0,0,0
22,0,0.052631579,0.058823529,0
23,0.027777778,0,0,0
24,0,0.105263158,0.176470588,0.076923077
25,0.055555556,0.052631579,0.176470588,0
26,0.083333333,0.105263158,0,0.076923077
27,0.138888889,0,0.058823529,0
28,0.027777778,0.052631579,0,0
29,0,0,0.058823529,0
30,0,0,0,0
31,0.055555556,0,0.058823529,0
32,0,0.105263158,0,0
33,0.083333333,0.263157895,0,0
34,0.027777778,0.157894737,0,0
35,0.083333333,0,0,0.076923077
36,0.027777778,0,0,0
37,0.027777778,0.052631579,0,0
38,0.25,0,0,0.076923077
39,0,0,0,0
40,0,0.052631579,0,0
41,0,0.052631579,0,0.076923077
42,0.027777778,0,0,0
43,0.027777778,0.105263158,0,0.076923077
44,0.027777778,0.105263158,0.117647059,0.076923077
45,0.027777778,0,0.176470588,0
46,0.055555556,0.105263158,0.529411765,0.076923077
47,0,0,0.117647059,0.076923077
48,0.111111111,0.052631579,0,0.076923077
49,0.055555556,0,0,0
50,0,0,0,0
51,0.027777778,0.052631579,0,0
52,0.027777778,0,0,0
53,0.027777778,0.052631579,0.058823529,0.153846154
54,0,0.052631579,0,0
55,0,0,0,0
56,0.027777778,0,0,0.076923077
57,0,0,0,0
58,0,0.052631579,0,0
59,0.25,0,0,0.230769231
60,0.027777778,0.157894737,0.058823529,0.307692308
61,0.027777778,0.052631579,0,0.076923077
62,0.138888889,0.052631579,0.176470588,0.153846154
63,0.027777778,0.263157895,0,0.153846154
64,0.138888889,0.052631579,0,0
65,0,0.052631579,0,0
66,0.027777778,0,0,0
67,0.055555556,0.210526316,0.117647059,0.076923077
68,0,0,0.117647059,0.076923077
69,0.111111111,0,0.058823529,0.076923077
70,0.055555556,0,0.058823529,0.076923077
71,0.027777778,0.052631579,0,0
72,0,0,0,0
73,0.027777778,0.052631579,0,0
74,0,0.105263158,0,0
75,0.111111111,0,0,0
76,0.055555556,0,0,0
77,0.277777778,0,0,0
78,0.055555556,0,0,0
79,0,0.052631579,0,0
80,0.027777778,0.052631579,0,0.076923077
81,0.027777778,0.210526316,0.058823529,0
82,0.083333333,0.105263158,0.058823529,0
83,0.111111111,0.315789474,0,0
84,0.166666667,0.105263158,0.058823529,0.461538462
85,0.083333333,0.368421053,0.176470588,0.307692308
86,0.194444444,0.157894737,0,0.230769231
87,0.027777778,0,0,0
88,0,0,0,0
89,0.055555556,0,0,0
90,0.111111111,0.105263158,0,0
91,0.055555556,0.052631579,0,0
92,0,0,0,0.076923077
93,0,0,0,0
94,0.055555556,0,0.058823529,0
95,0.027777778,0,0,0
96,0.194444444,0.052631579,0,0
97,0.222222222,0,0,0
98,0.055555556,0,0,0
99,0.388888889,0.105263158,0,0
100,0.055555556,0,0,0.076923077
101,0.083333333,0,0,0.076923077
102,0.027777778,0,0,0
103,0.083333333,0.263157895,0.117647059,0.230769231
104,0.25,0.315789474,0.117647059,0
105,0.138888889,0.578947368,0.470588235,0.230769231
106,0.194444444,1,0.882352941,0.076923077
107,0.222222222,0.157894737,0.058823529,0.307692308
108,0.027777778,0.210526316,0,0.153846154
109,0.055555556,0.105263158,0,0
110,0,0,0.058823529,0
111,0.027777778,0,0,0
112,0,0.052631579,0,0
113,0.027777778,0,0.058823529,0
114,0.055555556,0,0,0
115,0,0,0,0
116,0,0.052631579,0,0
117,0.027777778,0.052631579,0,0
118,0.166666667,0,0,0
119,0.111111111,0,0,0
120,0.25,0,0,0
121,0.083333333,0,0,0
122,0.472222222,0.052631579,0,0.153846154
123,0.055555556,0,0,0
124,0,0,0,0
125,0.222222222,0.263157895,0,0.307692308
126,0.5,0.894736842,0.117647059,0.769230769
127,0.111111111,0.210526316,0.176470588,0.153846154
128,0.222222222,0.263157895,0.117647059,0
129,0.277777778,0.684210526,0,0.153846154
130,0.138888889,0.052631579,0,0.076923077
131,0.027777778,0.052631579,0,0
132,0,0,0,0
133,0,0,0,0
134,0.027777778,0,0.058823529,0.230769231
135,0.027777778,0,0,0
136,0,0.052631579,0,0
137,0,0,0,0
138,0.027777778,0,0,0
139,0.055555556,0,0,0
140,0,0,0,0
141,0.027777778,0,0,0.076923077
142,0.138888889,0,0,0
143,0.083333333,0,0.117647059,0
144,0.25,0,0,0.153846154
145,0.055555556,0,0,0
146,0.166666667,0.157894737,0.058823529,0.384615385
147,0.055555556,0.421052632,0.117647059,0.153846154
148,0.055555556,0.210526316,0.058823529,0.153846154
149,0.111111111,0.105263158,0,0.076923077
150,0.027777778,0.526315789,0,0.076923077
151,0.027777778,0.210526316,0,0.307692308
152,0,0.052631579,0.058823529,0
153,0,0,0,0
154,0.027777778,0,0,0.076923077
155,0,0,0.058823529,0
156,0.027777778,0,0,0
157,0.055555556,0,0,0.153846154
158,0.027777778,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0.055555556,0,0,0
162,0,0,0,0
163,0.166666667,0.052631579,0,0
164,0.111111111,0,0,0.076923077
165,0.138888889,0,0,0
166,0.555555556,0,0,0.076923077
167,0.138888889,0.157894737,0,0
168,0,0.210526316,0.058823529,0
169,0.027777778,0.210526316,0.117647059,0
170,0.027777778,0.210526316,0,0.076923077
171,0.083333333,0.157894737,0,0
172,0,0.105263158,0,0.076923077
173,0.027777778,0.105263158,0,0
174,0.027777778,0,0,0
175,0.027777778,0,0,0.076923077
176,0,0,0,0
177,0,0,0,0
178,0.027777778,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0.027777778,0,0,0
183,0.055555556,0,0,0
184,0.055555556,0,0,0
185,0.416666667,0,0,0.076923077
186,0.527777778,0,0,0.153846154
187,0.472222222,0,0,0.230769231
188,0.027777778,0.210526316,0.058823529,0
189,0,0.263157895,0,0
190,0.138888889,0.210526316,0,0.153846154
191,0,0,0,0.076923077
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0.052631579,0,0
196,0,0,0,0.076923077
197,0,0,0,0
198,0,0,0,0
199,0.027777778,0.052631579,0,0
200,0.027777778,0,0,0
201,0.027777778,0,0,0
202,0,0,0,0
203,0.055555556,0,0,0
204,0.027777778,0,0,0
205,0.055555556,0,0,0
206,0.277777778,0.052631579,0,0
207,0.083333333,0,0,0
208,0.083333333,0,0,0.076923077
209,0.027777778,0.052631579,0,0
210,0.027777778,0.105263158,0,0
211,0.055555556,0,0,0
212,0.027777778,0,0,0.153846154
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0.076923077
217,0.027777778,0,0.058823529,0
218,0,0,0.058823529,0
219,0,0,0,0
220,0,0.052631579,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0.076923077
224,0.083333333,0,0,0
225,0.25,0,0,0
226,0.111111111,0,0,0
227,0.166666667,0,0,0
228,0.472222222,0,0,0
229,0.25,0,0,0
230,0.222222222,0,0,0.076923077
231,0,0.105263158,0,0.076923077
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0.027777778,0,0,0
236,0,0.052631579,0,0
237,0,0,0,0
238,0.027777778,0,0,0
239,0.027777778,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0.055555556,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0.138888889,0.052631579,0,0
246,0.666666667,0,0,0
247,0.305555556,0,0,0
248,0.166666667,0,0,0
249,0.416666667,0,0,0.076923077
250,0.055555556,0,0,0
251,0.055555556,0,0,0
252,0.027777778,0,0,0
253,0.027777778,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,0.055555556,0,0,0
258,0,0,0,0
259,0.055555556,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0.055555556,0,0,0
264,0.055555556,0,0,0
265,0.444444444,0,0,0
266,0.111111111,0.052631579,0,0.230769231
267,0.277777778,0,0,0.230769231
268,0.138888889,0.052631579,0,0.076923077
269,0.194444444,0,0,0
270,0.027777778,0,0,0
271,0.027777778,0.052631579,0,0
272,0.055555556,0.105263158,0,0
273,0.055555556,0,0,0.076923077
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0.083333333,0,0,0
282,0.138888889,0,0,0
283,0.138888889,0,0,0
284,0.166666667,0,0,0
285,0.222222222,0,0.058823529,0.076923077
286,0.166666667,0,0,0.076923077
287,0.138888889,0,0,0.076923077
288,0,0,0,0
289,0,0,0,0
290,0.027777778,0,0,0
291,0,0,0,0
292,0.027777778,0.052631579,0,0
293,0,0,0,0
294,0.055555556,0,0,0
295,0.027777778,0.052631579,0,0
296,0,0,0,0
297,0,0,0,0
298,0.055555556,0,0,0
299,0.166666667,0,0,0.307692308
300,0.25,0,0,0.076923077
301,0,0,0,0
302,0.083333333,0,0,0.153846154
303,0.361111111,0,0,0.153846154
304,0.305555556,0,0,0.076923077
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0.083333333,0,0,0.076923077
310,0.083333333,0,0,0.076923077
311,0.111111111,0,0,0
312,0.111111111,0,0,0
313,0.027777778,0,0,0
314,0.166666667,0.052631579,0,0.076923077
315,0.222222222,0,0,0.076923077
316,0.111111111,0,0,0.230769231
317,0.166666667,0,0,0.076923077
318,0.111111111,0,0,0
319,0.722222222,0,0,0
320,1,0.105263158,0,0.384615385
321,0,0,0,0
322,0.083333333,0,0,0.076923077
323,0.027777778,0,0,0
324,0.027777778,0,0,0
325,0.027777778,0,0,0
326,0.083333333,0.052631579,0,0
327,0.222222222,0,0,0
328,0.194444444,0,0,0
329,0.083333333,0,0,0
330,0.194444444,0,0,0
331,0.222222222,0,0.058823529,0.153846154
332,0.361111111,0,0,0.230769231
333,0.055555556,0,0,0.076923077
334,0.166666667,0,0,0
335,0.166666667,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0.222222222,0,0,0
340,0.777777778,0,0,0
341,0.5,0,0,0.076923077
342,0.111111111,0,0,0
343,0.055555556,0,0,0.076923077
344,0.388888889,0,0,0.076923077
345,0.416666667,0,0,0.230769231
346,0,0,0,0
347,0.111111111,0,0,0
348,0,0,0,0
349,0.888888889,0,0,0.230769231
350,0.861111111,0,0,0
351,0.194444444,0,0,0.076923077
352,0.027777778,0,0,0.076923077
353,0.25,0,0,0
354,0.361111111,0,0,0
355,0.027777778,0,0,0
356,0.333333333,0,0,0
357,0.277777778,0,0,0
358,0.083333333,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0.105263158,0,0.076923077
362,0.111111111,0.105263158,0.235294118,0
363,0.027777778,0.157894737,0.058823529,0
364,0,0,0,0
365,0.138888889,0,0,0
366,0.472222222,0,0,0
367,0,0,0,0.153846154
368,0,0,0,0
369,0.027777778,0,0,0
370,0.083333333,0,0,0
371,0,0,0.058823529,0.076923077
372,0.416666667,0.157894737,0.705882353,0
373,0.027777778,0,0,0.153846154
374,0.027777778,0,0,0.307692308
375,0,0,0,0
376,0,0,0,0
377,0,0.052631579,0,0
378,0.027777778,0,0,0.076923077
379,0,0.052631579,0.235294118,0
380,0.138888889,0.105263158,0,0.307692308
381,0.111111111,0.105263158,0,0.461538462
382,0.055555556,0.105263158,0.058823529,0.307692308
383,0,0,0,0.230769231
384,0,0,0.117647059,0
385,0,0.052631579,0.058823529,0
386,0.055555556,0,0,0
387,0.027777778,0,0,0
388,0,0,0,0
389,0.166666667,0.842105263,0,1
390,0.027777778,0.210526316,0,0.230769231
391,0.027777778,0.052631579,0,0.307692308
392,0.027777778,0.052631579,0,0.230769231
393,0.055555556,0.105263158,0,0.076923077
394,0,0,0,0.076923077
395,0.055555556,0,0.176470588,0
396,0.055555556,0.052631579,0.117647059,0
397,0.111111111,0.157894737,1,0
398,0.111111111,0.105263158,0.235294118,0
399,0.083333333,0.157894737,0.058823529,0
400,0.111111111,0.157894737,0,0.153846154
401,0.055555556,0.052631579,0,0.307692308
402,0,0.052631579,0,0.230769231
403,0,0,0,0
404,0.027777778,0,0,0.076923077
405,0.055555556,0,0.352941176,0
406,0,0.157894737,0.058823529,0
407,0,0.157894737,0,0
408,0,0.052631579,0,0
409,0.027777778,0,0.058823529,0
410,0,0,0.352941176,0
411,0,0.052631579,0.058823529,0
412,0,0.052631579,0.058823529,0
413,0.027777778,0,0,0.076923077
414,0,0,0,0.076923077
415,0.055555556,0,0,0
416,0.083333333,0,0,0
417,0,0,0.411764706,0
418,0,0,0,0
419,0.055555556,0.052631579,0.058823529,0
420,0.083333333,0.157894737,0.117647059,0
421,0.083333333,0.105263158,0.235294118,0
422,0.027777778,0.052631579,0.058823529,0
423,0.083333333,0,0,0.076923077
424,0,0,0,0
425,0,0,0,0
426,0.027777778,0,0,0
427,0,0,0,0