,Astrocytes,Neurons,Oligos,Vascular,Immune,Ependymal
16.92x9.015,0.022142971,0.8434476,0.007966418,0.08591379,2.19E-08,0.04052909
16.945x11.075,0.022440039,0.8477437,0.007190382,0.082856685,1.80E-08,0.039769206
16.97x10.118,0.022309229,0.8458904,0.007563172,0.08410311,1.99E-08,0.04013415
16.939x12.132,0.020375526,0.8652687,0.001506665,0.0826667,7.31E-10,0.030182365
16.949x13.055,0.02024494,0.86667293,0.001414656,0.08189113,6.36E-10,0.029776195
16.942x15.088,0.019977814,0.8684621,0.001278397,0.08107314,5.18E-10,0.02920853
16.941x17.065,0.89206016,9.64E-05,0.024237275,0.08358527,8.58E-06,1.23E-05
16.919x16.055,0.02706652,0.83740246,0.003457159,0.09170715,8.92E-09,0.040366556
9.862x9.024,0.26993096,0.038857285,0.4592661,0.092375435,0.1303972,0.009172952
12.08x9.115,0.9109334,1.70E-05,0.031033006,0.058012854,2.57E-06,1.04E-06
10.802x9.131,0.37936732,0.043128446,0.3396655,0.12281085,0.102471106,0.012556786
13.979x9.1,0.07665132,0.71145135,0.010978867,0.13962409,6.50E-07,0.061293755
15.008x9.051,0.016371658,0.8749614,0.001623435,0.07571062,7.54E-10,0.03133283
15.949x9.027,0.02509105,0.8464724,0.002828297,0.08689331,5.87E-09,0.038714968
15.944x10.075,0.016160745,0.8779958,0.001525758,0.073409475,6.70E-10,0.03090814
15.002x11.082,0.1779369,0.054619763,0.6227672,0.061068654,0.0812658,0.002341637
15.004x10.067,0.02978216,0.8259216,0.005735285,0.09625236,2.46E-08,0.042308714
15.968x11.107,0.18241741,0.038547024,0.6926949,0.0486893,0.03718685,0.000464558
13.095x11.07,0.03449283,0.81192815,0.003253845,0.108974785,1.12E-08,0.041350324
13.98x11.112,0.03998461,0.7688721,0.003384968,0.13911721,3.12E-08,0.048641223
13.044x10.102,0.0322089,0.8172266,0.004902693,0.1046335,1.81E-08,0.041028306
14.012x10.11,0.023299428,0.8406985,0.004055837,0.09255781,8.26E-09,0.039388392
14.025x13.091,0.40449363,0.034280058,0.30844164,0.110828444,0.11839138,0.023564946
13.03x12.084,0.01988283,0.8577615,0.002007787,0.08538944,1.81E-09,0.034958474
13.071x13.097,0.01990356,0.8664974,0.003119631,0.07623359,2.62E-09,0.03424581
14.011x12.095,0.32072112,0.0787938,0.31250057,0.14949352,0.10840524,0.030085718
15.941x12.112,0.26988757,0.004229059,0.66632897,0.05258136,0.006961231,1.19E-05
15.041x12.084,0.26905906,0.0746531,0.45305666,0.10709368,0.0894093,0.006728122
15.044x13.062,0.22526205,0.014107328,0.66767704,0.059766028,0.033083897,0.00010365
15.919x13.049,0.2670286,0.06524934,0.43166003,0.10674517,0.11875826,0.010558514
10.861x10.031,0.93146366,1.01E-05,0.019623503,0.048901297,8.37E-07,5.46E-07
12.009x11.134,0.045521285,0.7912913,0.006271768,0.10843281,7.09E-08,0.048482705
12.053x10.127,0.93302244,9.74E-06,0.018358508,0.048607964,7.28E-07,5.26E-07
10.877x11.024,0.92566687,1.85E-05,0.024150398,0.050160524,2.34E-06,1.30E-06
9.865x9.925,0.93019444,1.03E-05,0.020475239,0.049318533,9.14E-07,5.61E-07
9.904x11.036,0.9245494,1.84E-05,0.024908852,0.050519567,2.44E-06,1.29E-06
9.894x13.04,0.029237607,0.8362759,0.002892237,0.092151776,7.03E-09,0.039442435
9.876x12.033,0.92527765,1.90E-05,0.024663454,0.05003611,2.47E-06,1.34E-06
12.025x13.139,0.028526535,0.8428352,0.003001355,0.0864653,7.07E-09,0.03917165
10.901x13.022,0.03313619,0.8095265,0.003307643,0.11128508,1.19E-08,0.042744678
10.897x12.014,0.9238065,1.55E-05,0.012989617,0.06318673,5.61E-07,1.12E-06
12.054x12.119,0.032990962,0.812432,0.003492431,0.10832214,1.25E-08,0.042762548
12.033x15.113,0.23056087,0.075430974,0.3417654,0.09749113,0.17927714,0.0754746
10.927x15.025,0.032524444,0.8107286,0.00309043,0.11144202,1.05E-08,0.042214427
12.156x14.169,0.023547264,0.83594376,0.00465981,0.09971435,7.20E-09,0.036134772
10.918x14.019,0.018868295,0.8624336,0.001314059,0.08504834,1.08E-09,0.032335717
9.853x15.049,0.023779547,0.8296678,0.004111496,0.10606792,6.39E-09,0.036373187
9.846x14.032,0.01903746,0.85926694,0.001270346,0.0878474,1.08E-09,0.032577775
9.903x17.052,0.01908665,0.8601249,0.001425087,0.08708794,8.51E-10,0.032275375
9.938x16.03,0.018651115,0.86110026,0.001126026,0.08716516,8.48E-10,0.03195749
11.996x16.133,0.27204198,0.024397211,0.575828,0.052760266,0.0739601,0.001012359
12.138x17.112,0.310007,0.023012767,0.49148795,0.064101025,0.10780203,0.00358918
10.882x16.005,0.18294409,0.02868047,0.71609354,0.051355872,0.020765046,0.000161104
15.042x15.076,0.26717868,0.049646188,0.45801446,0.081045866,0.1338543,0.010260588
15.959x14.072,0.25563702,0.062254824,0.43150166,0.11711088,0.120037705,0.013457852
15.052x14.069,0.25753632,0.057790186,0.52635175,0.07920666,0.07629669,0.002818403
15.929x15.087,0.033916302,0.80812824,0.006157068,0.108346485,3.12E-08,0.04345191
13.045x14.103,0.24408373,0.08131904,0.23084062,0.106662594,0.17710294,0.15999115
14.016x15.1,0.28820565,0.05517661,0.43134382,0.09355267,0.11911383,0.012607408
13.988x14.097,0.31044388,0.039096277,0.4750335,0.09596668,0.07636128,0.003098387
12.988x15.112,0.29888853,0.024982074,0.5277637,0.093271196,0.05429124,0.000803168
13.02x17.101,0.25850946,0.061202668,0.41327655,0.11902878,0.13358434,0.014398146
13.004x16.105,0.17697495,0.09801599,0.4184755,0.08294326,0.1773634,0.04622696
14.042x17.098,0.5714144,0.011271396,0.2518775,0.13165264,0.027804786,0.005979292
14.068x16.1,0.26595476,0.04763839,0.49481982,0.07971522,0.10723296,0.004639026
16.001x16.036,0.036233414,0.8215159,0.001765595,0.0941488,1.10E-08,0.046336293
15.026x17.076,0.017967068,0.8848278,0.00161903,0.064684406,1.14E-09,0.030901706
15.987x17.056,0.035799894,0.8243901,0.00173952,0.09199723,1.06E-08,0.04607312
15.003x16.087,0.040956922,0.8137921,0.005591132,0.09367279,5.86E-08,0.04598686
15.965x19.084,0.022148449,0.84368926,0.001761714,0.09722113,2.02E-09,0.03517956
15.979x20.048,0.04036221,0.81431663,0.005396382,0.09430252,5.46E-08,0.04562212
15.982x18.073,0.021072853,0.8573081,0.001376396,0.08653536,1.41E-09,0.03370728
15.087x18.088,0.012986939,0.89757377,0.000620097,0.062464688,1.14E-10,0.02635456
15.043x19.053,0.02140909,0.8555949,0.001384498,0.087707125,1.45E-09,0.033904415
15.03x20.071,0.01913374,0.8626868,0.001195523,0.086031854,5.83E-10,0.030952068
13.963x18.117,0.28862086,0.067294866,0.39472473,0.10952363,0.116161294,0.023674574
14.018x20.086,0.27893606,0.082529515,0.31502298,0.111389875,0.14551438,0.066607185
13.051x18.114,0.3350865,0.0313817,0.42421898,0.090316266,0.10784084,0.011155719
13.039x19.141,0.25401604,0.031742692,0.6064762,0.07326562,0.034143995,0.000355537
14.024x19.115,0.37939247,0.006740355,0.52588737,0.058718417,0.029053608,0.000207757
13.075x20.083,0.36756396,0.055619456,0.29046685,0.12950712,0.1191821,0.037660602
10.915x19.122,0.23952784,0.046989273,0.49275553,0.08530331,0.12825052,0.007173569
12.074x19.146,0.15096574,0.058729913,0.63828784,0.06125571,0.08626037,0.004500433
12.12x18.147,0.06418608,0.022139367,0.8730368,0.023413839,0.01688464,0.000339292
10.891x18.054,0.3199684,0.0422583,0.3010252,0.10141244,0.16463071,0.07070492
12.083x20.128,0.21673855,0.06973674,0.46265215,0.0772167,0.15153179,0.022124026
10.889x20.06,0.20639864,0.033260774,0.647479,0.06651854,0.04580227,0.000540781
9.927x19.137,0.027731074,0.826216,0.005713482,0.09982071,1.98E-08,0.040518794
9.922x20.102,0.02098038,0.8515167,0.000927164,0.09276388,8.20E-10,0.03381183
9.973x18.069,0.029600244,0.8165829,0.002594558,0.10929611,9.85E-09,0.0419262
16.941x18.066,0.81131846,0.001613509,0.06495778,0.12168663,0.000181154,0.000242498
16.982x20.044,0.9545979,4.05E-06,0.009171216,0.036226332,1.72E-07,2.54E-07
16.963x19.075,0.9392806,2.27E-05,0.01676,0.043932687,2.06E-06,1.98E-06
7.948x14.067,0.915839,3.91E-05,0.023637809,0.06047712,3.55E-06,3.36E-06
7.934x15.059,0.07690144,0.6927461,0.005472207,0.16628884,2.16E-07,0.05859118
7.888x17.1,0.048845302,0.74501294,0.004005253,0.15412755,3.66E-08,0.048009004
7.949x16.058,0.04903711,0.7523076,0.00691762,0.14103922,9.88E-08,0.05069845
9.039x13.047,0.85131264,0.000251897,0.0490151,0.099371746,2.47E-05,2.39E-05
8.974x15.075,0.040321227,0.77704585,0.005645005,0.13106585,3.78E-08,0.045922
9.005x14.101,0.027522068,0.82896143,0.002388991,0.104295835,3.77E-09,0.036831785
9.024x17.101,0.046450377,0.76650673,0.005228689,0.13296928,5.30E-08,0.04884502
8.966x16.052,0.03580652,0.8028226,0.004748143,0.11449561,2.04E-08,0.04212715
8.953x18.123,0.030067535,0.8262432,0.001498621,0.10788464,1.70E-09,0.034305863
9.016x19.137,0.025116667,0.8357144,0.002676182,0.10150091,3.43E-09,0.034991734
7.924x19.141,0.023850087,0.8435621,0.000761608,0.10100537,4.09E-10,0.030820772
7.923x18.071,0.01410328,0.87732977,0.000892064,0.08035565,2.30E-10,0.027319314
14.041x21.074,0.32333362,0.045490332,0.26624948,0.105969094,0.16554774,0.09340972
13.048x21.079,0.31047955,0.058246154,0.1845383,0.10485189,0.1486996,0.19318452
16.016x21.036,0.022265788,0.86194295,0.003988979,0.07674366,6.27E-09,0.03505869
15.011x21.199,0.016716585,0.8834005,0.001331214,0.06982407,5.58E-10,0.028727505
9.919x21.027,0.020309864,0.8683905,0.004328208,0.07209303,6.10E-09,0.03487842
12.104x21.106,0.22173998,0.08256717,0.50266707,0.08622367,0.09812234,0.008679702
10.91x21.025,0.020471511,0.86297405,0.003868523,0.077950664,5.20E-09,0.034735244
20.956x13.026,0.019596932,0.86270225,0.001837374,0.08554451,1.02E-09,0.030318908
21.911x12.021,0.027410462,0.82676435,0.004587995,0.096271075,2.12E-08,0.04496624
21.985x13.004,0.13741729,0.17083907,0.51612467,0.08608492,0.06610596,0.023428049
20.963x12.011,0.01850775,0.847875,0.001873661,0.095886745,2.06E-09,0.035856914
24.104x13.074,0.031099325,0.81683666,0.004393696,0.10083311,2.70E-08,0.04683728
23.089x13.112,0.43723556,0.007617575,0.4255562,0.111946724,0.01730167,0.000342312
23.159x12.11,0.031300306,0.8198793,0.004208968,0.09770535,2.73E-08,0.046906043
18.014x13.011,0.945936,4.34E-06,0.008414953,0.045644037,2.15E-07,3.42E-07
18.003x12.045,0.3029297,0.07125878,0.3564364,0.1205119,0.11648596,0.032377258
18.987x12.027,0.9089289,3.23E-05,0.023546245,0.067488,2.23E-06,2.35E-06
18.947x13.037,0.824442,0.000637811,0.04533377,0.12944113,5.51E-05,9.01E-05
20.049x13.047,0.028815586,0.8302455,0.003255328,0.09358989,1.20E-08,0.04409368
20.043x12.064,0.89542097,0.000103586,0.022623908,0.08182556,1.01E-05,1.59E-05
20.045x15.084,0.020993784,0.8667057,0.007571857,0.06995088,1.34E-08,0.034777794
18.999x14.054,0.8956681,0.000121803,0.023758918,0.0804183,1.25E-05,2.04E-05
20.009x14.118,0.012826109,0.90555084,0.003272628,0.052696213,8.65E-10,0.02565422
18.946x15.079,0.9457991,5.04E-06,0.00890802,0.045287482,8.84E-08,2.38E-07
18.029x15.076,0.9480209,4.65E-06,0.010341483,0.04163236,3.68E-07,3.59E-07
17.985x14.023,0.9008527,8.40E-05,0.016182812,0.08287141,1.75E-06,7.30E-06
18.005x16.074,0.90128845,0.000116631,0.018051624,0.080523364,5.96E-06,1.38E-05
18.006x17.101,0.9004684,9.09E-05,0.016524926,0.082905725,1.95E-06,8.13E-06
18.981x16.045,0.032281723,0.8194622,0.001862127,0.09969128,8.99E-09,0.046702735
20.057x16.054,0.029664423,0.83698946,0.004966481,0.08943853,1.44E-08,0.038941137
19.014x17.064,0.03253302,0.8203387,0.002087874,0.09744899,1.17E-08,0.04759147
20.053x17.144,0.022695446,0.8628025,0.004120149,0.07370241,8.46E-09,0.036679458
23.113x15.098,0.3610629,0.019416869,0.49008307,0.08504993,0.043458078,0.000929022
24.051x15.103,0.021838587,0.8641583,0.005229112,0.07115892,1.33E-08,0.037615176
24.098x14.066,0.031753298,0.816768,0.007904825,0.10036975,4.75E-08,0.043204136
23.14x14.129,0.28909287,0.078868665,0.3129493,0.13036755,0.13282365,0.055897888
21.905x14.024,0.22169788,0.088601336,0.19704384,0.09404744,0.21193379,0.18667564
20.997x14.001,0.021738555,0.85105264,0.004284396,0.08562654,7.33E-09,0.037297864
20.959x15.073,0.031923074,0.8329389,0.004358387,0.08598069,2.60E-08,0.044798877
21.95x15.022,0.22283213,0.039591145,0.59069926,0.06878292,0.07663471,0.001459866
21.939x16.016,0.30240473,0.048467316,0.45953307,0.0919618,0.09248804,0.00514499
21.942x17.038,0.24109028,0.101609685,0.36284107,0.11012452,0.14462744,0.03970702
20.917x16.026,0.04646055,0.7741973,0.010125642,0.11533839,2.28E-07,0.053877953
20.931x17.088,0.25028184,0.10606853,0.25275996,0.14379722,0.14088584,0.10620665
23.108x17.15,0.2979937,0.051563427,0.29592606,0.09761132,0.18851542,0.068390064
24.073x16.077,0.020873496,0.86647403,0.004040948,0.06978872,9.37E-09,0.03882269
24.097x17.116,0.040446497,0.775103,0.014416123,0.1136056,6.27E-07,0.05642804
23.132x16.099,0.2854947,0.04969463,0.46663144,0.094934955,0.09802767,0.005216682
25.069x12.085,0.040262,0.7767436,0.01761116,0.11125796,5.74E-07,0.054124784
26.094x13.04,0.90445155,3.12E-05,0.016108414,0.07940617,8.38E-07,1.90E-06
25.113x13.092,0.026530052,0.83839166,0.005083793,0.08862552,2.04E-08,0.0413691
26.038x12.058,0.9112517,3.75E-05,0.016079893,0.07262749,9.39E-07,2.34E-06
26.073x15.042,0.91106737,1.67E-05,0.015459322,0.07345553,3.80E-07,7.56E-07
26.05x14.068,0.95424384,2.02E-06,0.004020416,0.04173359,2.00E-08,9.62E-08
25.032x14.077,0.015276354,0.89554083,0.002266449,0.056678865,1.42E-09,0.030237418
25.104x15.095,0.029761288,0.8194266,0.006662234,0.09756902,4.99E-08,0.046580803
26.084x17.051,0.027876616,0.8416594,0.003369914,0.08273021,1.75E-08,0.044363882
26.069x16.055,0.93799466,1.14E-05,0.005578047,0.05641504,9.67E-08,7.35E-07
25.054x16.105,0.020036682,0.86523205,0.004095702,0.07591029,5.63E-09,0.034725294
25.072x17.081,0.025632592,0.8579056,0.004860574,0.07140294,1.79E-08,0.040198117
25.086x19.093,0.01915429,0.86398,0.004184043,0.076457016,6.85E-09,0.036224637
26.095x20.067,0.027573733,0.8455646,0.003248543,0.07969756,1.57E-08,0.043915566
25.088x18.079,0.044591386,0.8108756,0.003689638,0.09026809,5.59E-08,0.050575122
25.097x20.079,0.026898181,0.8563503,0.004256511,0.071431294,1.77E-08,0.041063737
26.043x18.053,0.025480459,0.8612991,0.004515814,0.069136426,1.54E-08,0.039568227
26.096x19.077,0.03153731,0.8153935,0.003410144,0.10668905,1.48E-08,0.042969927
23.137x19.129,0.29786965,0.0645805,0.32962057,0.109930545,0.1484713,0.049527466
24.104x19.104,0.17588112,0.13723968,0.25006178,0.086704955,0.21335158,0.13676094
23.087x18.132,0.3041651,0.04211167,0.4173286,0.09322569,0.12862232,0.014546646
24.109x18.089,0.02556953,0.84915376,0.003352227,0.08315301,7.78E-09,0.038771484
24.106x20.115,0.20562564,0.13651922,0.27765447,0.1355235,0.14483203,0.09984513
23.144x20.121,0.2150982,0.06895151,0.5378873,0.096906215,0.077332765,0.003824042
21.965x20.01,0.30551055,0.04423709,0.44345403,0.10152748,0.098141395,0.007129456
20.908x18.049,0.33143458,0.062004767,0.37825832,0.14714421,0.07207315,0.009085045
20.985x20.071,0.3697542,0.047007535,0.3583235,0.108374394,0.09905682,0.017483627
20.969x18.993,0.42276722,0.062355477,0.13812013,0.14635397,0.06589219,0.16451101
21.965x19.016,0.38595346,0.013708181,0.47683054,0.1035775,0.019613244,0.000317051
21.939x18.025,0.16734326,0.051771555,0.61840624,0.062809676,0.0956815,0.003987833
19.012x19.025,0.036814757,0.8283982,0.004309331,0.08215923,4.43E-08,0.04831844
20.06x19.068,0.027062342,0.85515004,0.003129383,0.075158976,8.92E-09,0.039499305
18.977x18.073,0.020473707,0.86878705,0.003288308,0.07515091,2.81E-09,0.032299984
20.064x20.082,0.012243724,0.9177571,0.000525448,0.04769789,4.77E-11,0.021775817
18.996x20.044,0.015562463,0.90314025,0.000801245,0.05163037,4.08E-10,0.028865691
20.104x18.051,0.03283355,0.80248785,0.01396003,0.10471186,1.42E-07,0.04600668
17.994x18.082,0.92338437,3.66E-05,0.013528441,0.06304565,1.22E-06,3.60E-06
17.979x19.059,0.95374894,4.26E-06,0.007594857,0.03865141,1.71E-07,3.48E-07
8.957x11.091,0.91042936,3.92E-05,0.030233156,0.059288885,6.00E-06,3.50E-06
8.997x10.052,0.41681394,0.016378835,0.4052476,0.08757755,0.07042843,0.003553687
9.04x12.046,0.9301241,6.91E-06,0.0224325,0.047435466,7.82E-07,3.45E-07
9.006x20.114,0.024593761,0.8406309,0.003251431,0.09394462,5.75E-09,0.03757927
14.063x22.058,0.027937504,0.84051824,0.002173803,0.08877444,6.55E-09,0.040596023
13.084x22.085,0.018891288,0.87087613,0.000555694,0.080076024,2.58E-10,0.029600771
16.047x22.132,0.020601137,0.87433404,0.00076101,0.070906684,7.39E-10,0.03339721
15.028x22.055,0.0201562,0.86125356,0.001863005,0.08301272,1.94E-09,0.033714496
12.091x22.103,0.020768989,0.86448234,0.002553405,0.07827231,2.96E-09,0.033922993
10.908x22.093,0.018475214,0.85840064,0.003524176,0.08673798,3.10E-09,0.032861788
12.104x23.073,0.01658968,0.8783179,0.000697392,0.07670866,2.17E-10,0.027686335
15.037x23.003,0.020818364,0.86668396,0.00067509,0.07814675,6.54E-10,0.033675846
13.018x23.006,0.02432043,0.8247654,0.003610047,0.1109257,5.96E-09,0.03637847
14.06x23.002,0.025934054,0.8431409,0.003462509,0.08854763,9.20E-09,0.03891494
25.082x21.054,0.018340232,0.8534283,0.003284671,0.0922198,2.77E-09,0.03272694
26.076x21.03,0.031302672,0.8115096,0.002183257,0.116297655,4.84E-09,0.03870686
27.078x21.025,0.02720521,0.8331923,0.00712054,0.08976055,3.62E-08,0.042721458
21.016x21.023,0.11601447,0.03705043,0.76521677,0.041412164,0.039603535,0.000702583
21.949x21.039,0.24068129,0.08925544,0.37223327,0.109291404,0.1509726,0.037566077
23.16x21.089,0.2434158,0.042260196,0.5484542,0.0845481,0.078863025,0.002458654
24.13x21.069,0.23993991,0.0646952,0.41844374,0.09081038,0.15854561,0.027565094
17.988x21.061,0.8891954,0.000175969,0.024252407,0.08633764,1.24E-05,2.62E-05
19.011x21.044,0.030673862,0.83787364,0.002561085,0.08256251,1.89E-08,0.046328913
20.069x21.094,0.19682036,0.14032596,0.36006263,0.114579424,0.13623312,0.05197852
23.077x11.112,0.033502184,0.8408373,0.002806912,0.08509082,6.96E-09,0.037762824
24.087x11.075,0.032837737,0.81466573,0.010570978,0.09796567,7.95E-08,0.04395977
21.926x11.038,0.04347506,0.75553375,0.015682708,0.131656,4.06E-07,0.053652056
20.93x11.007,0.012656041,0.89887816,0.003059069,0.0572984,1.25E-09,0.028108332
20.063x11.042,0.86523885,0.000156118,0.035639334,0.098948225,7.41E-06,1.01E-05
18.93x11.054,0.2686209,0.0653374,0.44955185,0.10956622,0.09877468,0.008148942
17.984x11.083,0.024562066,0.83782846,0.00528449,0.09036302,1.75E-08,0.041962035
25.03x11.1,0.25140667,0.071548894,0.29944098,0.122317314,0.18554622,0.069739826
26.991x13.041,0.26788467,0.1005024,0.2937977,0.12947592,0.1455691,0.06277026
27.997x14.034,0.32377508,0.047280226,0.3787094,0.092299916,0.14041507,0.017520273
27.034x15.057,0.9203293,1.83E-05,0.010741632,0.068909526,2.57E-07,1.05E-06
27.966x15.165,0.9203911,1.93E-05,0.010510635,0.0690777,2.63E-07,1.14E-06
27.06x14.035,0.97312546,2.68E-07,0.002442531,0.02443181,4.25E-09,1.21E-08
27.011x17.187,0.95506215,2.66E-06,0.004036395,0.04089866,3.18E-08,1.50E-07
28.04x17.062,0.95467424,2.50E-06,0.004165309,0.041157883,3.10E-08,1.35E-07
27.018x16.042,0.9172217,2.53E-05,0.008314869,0.07443524,4.56E-07,2.50E-06
28.004x16.037,0.94777983,4.60E-06,0.007294653,0.04492032,1.22E-07,2.96E-07
28.016x19.075,0.94789904,4.34E-06,0.007399334,0.04469697,1.17E-07,2.70E-07
27.041x19.066,0.032463726,0.8106754,0.007572242,0.102661446,6.71E-08,0.046627082
26.99x18.059,0.01414666,0.90264326,0.00206281,0.049663246,1.56E-09,0.031484123
28.047x18.055,0.9508208,6.30E-06,0.00431866,0.044853326,1.43E-07,7.45E-07
26.108x22.063,0.0483784,0.75968623,0.011780077,0.12006053,5.28E-07,0.060094275
25.084x22.07,0.029044718,0.8214993,0.008746645,0.095603935,6.34E-08,0.04510534
26.147x22.981,0.8021169,0.001045717,0.07006626,0.12654205,0.000102614,0.000126486
25.146x22.992,0.028584,0.8282091,0.007471471,0.09425805,4.51E-08,0.041477397
21.931x22.121,0.27722964,0.1316619,0.18758646,0.15256776,0.09005247,0.16090176
21.074x22.101,0.19059946,0.18063895,0.19151519,0.13127951,0.12533143,0.18063553
23.144x22.097,0.041818447,0.8226199,0.00411617,0.08388676,4.77E-08,0.04755875
24.114x22.074,0.03392127,0.8424499,0.004270554,0.07815528,2.84E-08,0.041202955
19.032x22.087,0.040989947,0.82828707,0.005292212,0.07951855,6.66E-08,0.045912147
20.043x22.146,0.033016413,0.8273888,0.004860828,0.08508296,6.02E-08,0.049650867
20.038x22.966,0.03586762,0.8032845,0.006418552,0.1080655,5.38E-08,0.046363734
19.031x22.942,0.036756493,0.7953464,0.008702638,0.11070718,1.04E-07,0.048487205
24.099x23.018,0.012370477,0.90359557,0.003216651,0.051736567,1.42E-09,0.029080836
23.137x23.03,0.019891754,0.87433684,0.001970312,0.06581093,4.11E-09,0.037990183
21.027x22.938,0.01407004,0.90326405,0.001498041,0.05019033,9.90E-10,0.030977596
21.978x23.005,0.050500385,0.775159,0.009573378,0.11292211,2.34E-07,0.051844854
20.089x24.006,0.019946046,0.8682982,0.006025103,0.07062424,9.70E-09,0.035106495
24.146x24.011,0.03737011,0.81581223,0.010969764,0.087387756,1.69E-07,0.048459895
23.124x24.046,0.022708222,0.8564387,0.006325651,0.07772971,1.53E-08,0.036797684
21.01x23.944,0.04920717,0.78252566,0.009553906,0.107721485,2.20E-07,0.050991505
22.053x23.962,0.026183436,0.8448188,0.005778505,0.08623292,1.52E-08,0.036986247
27.018x20.088,0.041232053,0.7831707,0.015552009,0.11082529,2.63E-07,0.049219664
17.964x10.137,0.023024904,0.85255265,0.007768894,0.07846716,2.46E-08,0.03818646